headword,pronunciation
domówka,d ɔ̃ ˈ m u f k a
donaryt,d ɔ̃ ˈ n a r ɨ t
donator,d ɔ̃ ˈ n a t ɔ r
donica,d ɔ̃ ˈ ɲ i t s̑ a
doniczka,d ɔ̃ ˈ ɲ i t ʃ̑ k a
doniczkowy,ˌ d ɔ̃ ɲ i t ʃ̑ ˈ k ɔ v ɨ
doniecki,d ɔ̃ ˈ ɲ ɛ t s̑ʲ c i
doniesienie,ˌ d ɔ̃ ɲ ɛ̇ ˈ ɕ ɛ̇̃ ɲ ɛ
donieść,ˈ d ɔ̃ ɲ ɛ̇ ɕ ʨ̑
donikąd,d ɔ̃ ˈ ɲ i k ɔ̃ n t
donkiszot,d ɔ̃ ŋʲ ˈ c i ʃ ɔ t
donosiciel,ˌ d ɔ̃ n ɔ ˈ ɕ i ʨ̑ ɛ l
donoszenie,ˌ d ɔ̃ n ɔ ˈ ʃ ɛ̃ ɲ ɛ
donośny,d ɔ̃ ˈ n ɔ ɕ n ɨ
donżon,ˈ d ɔ̃ n͇ ʒ ɔ̃ n
dookoła,ˌ d ɔː ˈ k ɔ w a
dopalacz,d ɔ ˈ p a l a t ʃ̑
dopalenie,ˌ d ɔ p a ˈ l ɛ̃ ɲ ɛ
dopalić,d ɔ ˈ p a lʲ i ʨ̑
dopełniacz,d ɔ ˈ p ɛ wʲ ɲ a t ʃ̑
dopełnianie,ˌ d ɔ p ɛ wʲ ˈ ɲ ä̃ ɲ ɛ
dopełnienie,ˌ d ɔ p ɛ wʲ ˈ ɲ ɛ̇̃ ɲ ɛ
dopierdalanie,ˌ d ɔ pʲ j ɛ r d a ˈ l ã ɲ ɛ
dopierdalać,ˌ d ɔ pʲ j ɛ r ˈ d a l a ʨ̑
dopiero,d ɔ ˈ pʲ j ɛ r ɔ
dopilnowanie,ˌ d ɔ pʲ i l n ɔ ˈ v ã ɲ ɛ
dopilnować,ˌ d ɔ pʲ i l ˈ n ɔ v a ʨ̑
doping,ˈ d ɔ pʲ ĩ ŋ k
dopisać,d ɔ ˈ pʲ i s a ʨ̑
dopiąć,ˈ d ɔ pʲ j ɔ̇̃ ɲ ʨ̑
dopić,ˈ d ɔ pʲ i ʨ̑
dopięcie,d ɔ ˈ pʲ j ɛ̇̃ ɲ ʨ̑ ɛ
dopomożenie,ˌ d ɔ p ɔ̃ m ɔ ˈ ʒ ɛ̃ ɲ ɛ
dopowiadanie,ˌ d ɔ p ɔ vʲ j a ˈ d ã ɲ ɛ
dopowiadać,ˌ d ɔ p ɔ ˈ vʲ j a d a ʨ̑
doprawienie,ˌ d ɔ p r a ˈ vʲ j ɛ̇̃ ɲ ɛ
doprawić,d ɔ ˈ p r a vʲ i ʨ̑
doprowadzać,ˌ d ɔ p r ɔ ˈ v a d z̑ a ʨ̑
doprowadzić,ˌ d ɔ p r ɔ ˈ v a ʥ̑ i ʨ̑
dopuszczalny,ˌ d ɔ p u ʃ ˈ t ʃ̑ a l n ɨ
dopuścić,d ɔ ˈ p u ɕ ʨ̑ i ʨ̑
dopóki,d ɔ ˈ p u c i
dopłacić,d ɔ ˈ p w a ʨ̑ i ʨ̑
dopływ,ˈ d ɔ p w ɨ f
dorada,d ɔ ˈ r a d a
doraźnie,d ɔ ˈ r a ʑ ɲ ɛ
dordzałość,d ɔ ˈ r d z̑ a w ɔ ɕ ʨ̑
dordzewienie,ˌ d ɔ r d z̑ ɛ ˈ vʲ j ɛ̇̃ ɲ ɛ
dordzewieć,d ɔ ˈ r d z̑ ɛ vʲ j ɛ̇ ʨ̑
dorobić,d ɔ ˈ r ɔ bʲ i ʨ̑
dorosły,d ɔ ˈ r ɔ s w ɨ
dorożka,d ɔ ˈ r ɔ ʃ k a
dorożkarz,d ɔ ˈ r ɔ ʃ k a ʃ
dorsz,d ɔ r ʃ
dorywczo,d ɔ ˈ r ɨ f t ʃ̑ ɔ
dorzecze,d ɔ ˈ ʒ ɛ t ʃ̑ ɛ
doręczyciel,ˌ d ɔ r ɛ̃ n͇ ˈ t ʃ̑ ɨ ʨ̑ ɛ l
doręczycielka,ˌ d ɔ r ɛ̃ n͇ t ʃ̑ ɨ ˈ ʨ̑ ɛ l k a
dorżnąć,ˈ d ɔ r ʒ n ɔ̃ ɲ ʨ̑
dosadnie,d ɔ ˈ s a dʲ ɲ ɛ
dosadzić,d ɔ ˈ s a ʥ̑ i ʨ̑
dosiadać,d ɔ ˈ ɕ a d a ʨ̑
doskonale,ˌ d ɔ s k ɔ̃ ˈ n a l ɛ
doskonalenie,ˌ d ɔ s k ɔ̃ n a ˈ l ɛ̃ ɲ ɛ
doskonałość,ˌ d ɔ s k ɔ̃ ˈ n a w ɔ ɕ ʨ̑
doskonały,ˌ d ɔ s k ɔ̃ ˈ n a w ɨ
doskwierać,d ɔ ˈ s k fʲ j ɛ r a ʨ̑
dosmaczać,d ɔ ˈ s m a t ʃ̑ a ʨ̑
dosmaczyć,d ɔ ˈ s m a t ʃ̑ ɨ ʨ̑
dostanie,d ɔ ˈ s t ã ɲ ɛ
dostarczanie,ˌ d ɔ s t a r ˈ t ʃ̑ ã ɲ ɛ
dostarczać,d ɔ ˈ s t a r t ʃ̑ a ʨ̑
dostarczenie,ˌ d ɔ s t a r ˈ t ʃ̑ ɛ̃ ɲ ɛ
dostarczyć,d ɔ ˈ s t a r t ʃ̑ ɨ ʨ̑
dostatczanie,ˌ d ɔ s t a ṭ ˈ t ʃ̑ ã ɲ ɛ
dostatecznie,ˌ d ɔ s t a ˈ t ɛ t ʃ̑ʲ ɲ ɛ
dostatek,d ɔ ˈ s t a t ɛ k
dostawa,d ɔ ˈ s t a v a
dostawanie,ˌ d ɔ s t a ˈ v ã ɲ ɛ
dostawać,d ɔ ˈ s t a v a ʨ̑
dostawca,d ɔ ˈ s t a f t s̑ a
dostać,ˈ d ɔ s t a ʨ̑
dostojnik,d ɔ ˈ s t ɔ j ɲ i k
dostrzec,ˈ d ɔ s ṭ ʃ ɛ t s̑
dostąpić,d ɔ ˈ s t ɔ̃ m pʲ i ʨ̑
dostęp,ˈ d ɔ s t ɛ̃ m p
dostępny,d ɔ ˈ s t ɛ̃ m p n ɨ
dostępowanie,ˌ d ɔ s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
dostępować,ˌ d ɔ s t ɛ̃ m ˈ p ɔ v a ʨ̑
dosyć,ˈ d ɔ s ɨ ʨ̑
doszczętnie,d ɔ ˈ ʃ t ʃ̑ ɛ̃ n tʲ ɲ ɛ
dosłownie,d ɔ ˈ s w ɔ vʲ ɲ ɛ
dosłowny,d ɔ ˈ s w ɔ v n ɨ
dot.,d ɔ ˈ t ɨ t ʃ̑ ɨ
dotacja,d ɔ ˈ t a t s̑ʲ j a
dotkliwie,d ɔ ˈ t k lʲ i vʲ j ɛ
dotkliwy,d ɔ ˈ t k lʲ i v ɨ
dotknięcie,d ɔ ˈ tʲ c ɲ ɛ̇̃ ɲ ʨ̑ ɛ
dotknąć,ˈ d ɔ t k n ɔ̃ ɲ ʨ̑
dotleniać,d ɔ ˈ t l ɛ̃ ɲ ä ʨ̑
dotrzeć,ˈ d ɔ ṭ ʃ ɛ ʨ̑
dotychczas,d ɔ ˈ t ɨ x t ʃ̑ a s
dotychmiast,d ɔ ˈ t ɨ x mʲ j a s t
dotyczenie,ˌ d ɔ t ɨ ˈ t ʃ̑ ɛ̃ ɲ ɛ
dotyczyć,d ɔ ˈ t ɨ t ʃ̑ ɨ ʨ̑
dotyk,ˈ d ɔ t ɨ k
dotykanie,ˌ d ɔ t ɨ ˈ k ã ɲ ɛ
dotykać,d ɔ ˈ t ɨ k a ʨ̑
dotykowy,ˌ d ɔ t ɨ ˈ k ɔ v ɨ
dotąd,ˈ d ɔ t ɔ̃ n t
doustny,d ɔ ˈ s u p w s u p u s t n ɨ
dowcip,ˈ d ɔ fʲ ʨ̑ i p
dowietrzny,d ɔ ˈ vʲ j ɛ ṭ ʃ n ɨ
dowodzenie,ˌ d ɔ v ɔ ˈ d z̑ ɛ̃ ɲ ɛ
dowodzić,d ɔ ˈ v ɔ ʥ̑ i ʨ̑
dowolnie,d ɔ ˈ v ɔ lʲ ɲ ɛ
dowolny,d ɔ ˈ v ɔ l n ɨ
dowód,ˈ d ɔ v u t
dowódca,d ɔ ˈ v u t t s̑ a
dozgonny,d ɔ ˈ z ɡ ɔ̃ nː ɨ
doznawanie,ˌ d ɔ z n a ˈ v ã ɲ ɛ
doznawać,d ɔ ˈ z n a v a ʨ̑
doznać,ˈ d ɔ z n a ʨ̑
dozorca,d ɔ ˈ z ɔ r t s̑ a
dozowacz,d ɔ ˈ z ɔ v a t ʃ̑
dozować,d ɔ ˈ z ɔ v a ʨ̑
dozwolony,ˌ d ɔ z v ɔ ˈ l ɔ̃ n ɨ
dozymetr,d ɔ ˈ z ɨ m ɛ t r
dołek,ˈ d ɔ w ɛ k
dołowanie,ˌ d ɔ w ɔ ˈ v ã ɲ ɛ
dołować,d ɔ ˈ w ɔ v a ʨ̑
dołożyć,d ɔ ˈ w ɔ ʒ ɨ ʨ̑
dołączyć,d ɔ ˈ w ɔ̃ n͇ t ʃ̑ ɨ ʨ̑
doń,d ɔ̃ ɲ
doński,ˈ d ɔ̃ j̃ sʲ c i
dośpiały,d ɔ ˈ ɕ pʲ j a w ɨ
doświadczalny,ˌ d ɔ ɕ fʲ j a ṭ ˈ t ʃ̑ a l n ɨ
doświadczenie,ˌ d ɔ ɕ fʲ j a ṭ ˈ t ʃ̑ ɛ̃ ɲ ɛ
doświadczony,ˌ d ɔ ɕ fʲ j a ṭ ˈ t ʃ̑ ɔ̃ n ɨ
doświadczyć,d ɔ ˈ ɕ fʲ j a ṭ t ʃ̑ ɨ ʨ̑
dość,d ɔ ɕ ʨ̑
dożynki,d ɔ ˈ ʒ ɨ̃ nʲ c i
dożynkowy,ˌ d ɔ ʒ ɨ̃ ŋ ˈ k ɔ v ɨ
dożywocie,ˌ d ɔ ʒ ɨ ˈ v ɔ ʨ̑ ɛ
dożywotni,ˌ d ɔ ʒ ɨ ˈ v ɔ tʲ ɲ i
dr,ˈ d ɔ k t ɔ r
drab,d r a p
drabant,ˈ d r a b ã n t
drabina,d r a ˈ bʲ ĩ n a
drabinka,d r a ˈ bʲ ĩ n k a
drachma,ˈ d r a x m a
drag,d r a k
dragoman,d r a ˈ ɡ ɔ̃ m ã n
dragon,ˈ d r a ɡ ɔ̃ n
drailing,d r a ˈ s u p j s u p i lʲ ĩ ŋ k
draka,ˈ d r a k a
dram,d r ã m
dramat,ˈ d r ã m a t
dramaturg,d r ã ˈ m a t u r k
drapanie,d r a ˈ p ã ɲ ɛ
drapać,ˈ d r a p a ʨ̑
drapichrust,d r a ˈ pʲ i x r u s t
drapież,ˈ d r a pʲ j ɛ ʃ
drapieżnik,d r a ˈ pʲ j ɛ ʒʲ ɲ i k
drapieżny,d r a ˈ pʲ j ɛ ʒ n ɨ
drapirzyt,d r a ˈ pʲ i ʒ ɨ t
dratewka,d r a ˈ t ɛ f k a
dratwa,ˈ d r a t f a
drawit,ˈ d r a vʲ i t
drawski,ˈ d r a f sʲ c i
drawszczanin,d r a f ʃ ˈ t ʃ̑ ã ɲ ĩ n
drawszczanka,d r a f ʃ ˈ t ʃ̑ ã n k a
drań,d r ã ɲ
draństwo,ˈ d r ã j̃ s t f ɔ
draźnię,ˈ d r a ʑ ɲ ɛ
drażetka,d r a ˈ ʒ ɛ t k a
drażliwość,d r a ʒ ˈ lʲ i v ɔ ɕ ʨ̑
drażliwy,d r a ʒ ˈ lʲ i v ɨ
drażnienie,d r a ʒʲ ˈ ɲ ɛ̇̃ ɲ ɛ
drażnić,ˈ d r a ʒʲ ɲ i ʨ̑
drebel,ˈ d r ɛ b ɛ l
drednot,ˈ d r ɛ d n ɔ t
drehbuch,ˈ d r ɛ j b u x
drelich,ˈ d r ɛ lʲ i x
dreptać,ˈ d r ɛ p t a ʨ̑
dres,d r ɛ s
dreszcz,d r ɛ ʃ t ʃ̑
dreszczowiec,d r ɛ ʃ ˈ t ʃ̑ ɔ vʲ j ɛ t s̑
drewienko,d r ɛ ˈ vʲ j ɛ̃ n k ɔ
drewniak,ˈ d r ɛ vʲ ɲ a k
drewniany,d r ɛ vʲ ˈ ɲ ã n ɨ
drewnienie,d r ɛ vʲ ˈ ɲ ɛ̇̃ ɲ ɛ
drewnieć,ˈ d r ɛ vʲ ɲ ɛ̇ ʨ̑
drewno,ˈ d r ɛ v n ɔ
drewnochron,d r ɛ v ˈ n ɔ x r ɔ̃ n
drewnojad,d r ɛ v ˈ n ɔ j a t
drewnopochodny,ˌ d r ɛ v n ɔ p ɔ ˈ x ɔ d n ɨ
drewnopodobny,ˌ d r ɛ v n ɔ p ɔ ˈ d ɔ b n ɨ
drewny,ˈ d r ɛ v n ɨ
drewutnia,d r ɛ ˈ v u tʲ ɲ a
drezdenka,d r ɛ z ˈ d ɛ̃ n k a
drezdeńczyk,d r ɛ z ˈ d ɛ̃ j̃ n͇ t ʃ̑ ɨ k
drezdeński,d r ɛ z ˈ d ɛ̃ j̃ sʲ c i
drezyna,d r ɛ ˈ z ɨ̃ n a
drganie,ˈ d r ɡ ã ɲ ɛ
drgać,d r ɡ a ʨ̑
drgnięcie,ˈ d rʲ ɟ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
drinas,ˈ d rʲ ĩ n a s
drink,d rʲ ĩ ŋ k
drobiazg,ˈ d r ɔ bʲ j a s k
drobina,d r ɔ ˈ bʲ ĩ n a
drobiowy,d r ɔ ˈ bʲ j ɔ v ɨ
drobne,ˈ d r ɔ b n ɛ
drobniusieńki,ˌ d r ɔ bʲ ɲ ü ˈ ɕ ɛ̇̃ ɲ c i
drobniuteńki,ˌ d r ɔ bʲ ɲ u ˈ t ɛ̃ ɲ c i
drobniutki,d r ɔ bʲ ˈ ɲ u tʲ c i
drobniuśki,d r ɔ bʲ ˈ ɲ ü ɕ c i
drobnostka,d r ɔ b ˈ n ɔ s t k a
drobnoustrój,ˌ d r ɔ b n ɔ ˈ s u p w s u p u s t r u j
drobnowidz,d r ɔ b ˈ n ɔ vʲ i t s̑
drobnoziarnisty,ˌ d r ɔ b n ɔ ʑ a rʲ ˈ ɲ i s t ɨ
drobny,ˈ d r ɔ b n ɨ
droga,ˈ d r ɔ ɡ a
drogi,ˈ d r ɔ ɟ i
drogista,d r ɔ ˈ ɟ i s t a
drogo,ˈ d r ɔ ɡ ɔ
drogowiec,d r ɔ ˈ ɡ ɔ vʲ j ɛ t s̑
drogowskaz,d r ɔ ˈ ɡ ɔ f s k a s
drogowy,d r ɔ ˈ ɡ ɔ v ɨ
dromader,d r ɔ̃ ˈ m a d ɛ r
dron,d r ɔ̃ n
drop,d r ɔ p
dropiaty,d r ɔ ˈ pʲ j a t ɨ
drozd,d r ɔ s t
droździk,ˈ d r ɔ ʑ ʥ̑ i k
drożdże,ˈ d r ɔ ʒ d ʒ̑ ɛ
drożdżowiec,d r ɔ ʒ ˈ d ʒ̑ ɔ vʲ j ɛ t s̑
drożdżowy,d r ɔ ʒ ˈ d ʒ̑ ɔ v ɨ
drożdżówka,d r ɔ ʒ ˈ d ʒ̑ u f k a
druciak,ˈ d r u ʨ̑ a k
druciany,d r u ˈ ʨ̑ ã n ɨ
druciara,d r u ˈ ʨ̑ a r a
drug,d r u k
drugdy,ˈ d r u ɡ d ɨ
drugi,ˈ d r u ɟ i
drugie,ˈ d r u ɟ j ɛ
drugoroczniak,ˌ d r u ɡ ɔ ˈ r ɔ t ʃ̑ʲ ɲ a k
druh,d r u x
druid,ˈ d r u s u p j s u p i t
druk,d r u k
drukarka,d r u ˈ k a r k a
drukarnia,d r u ˈ k a rʲ ɲ a
drukarski,d r u ˈ k a r sʲ c i
drukarz,ˈ d r u k a ʃ
drukowanie,ˌ d r u k ɔ ˈ v ã ɲ ɛ
drukować,d r u ˈ k ɔ v a ʨ̑
drumla,ˈ d r ũ m l a
drut,d r u t
drutowiec,d r u ˈ t ɔ vʲ j ɛ t s̑
drużyna,d r u ˈ ʒ ɨ̃ n a
drużynowa,ˌ d r u ʒ ɨ̃ ˈ n ɔ v a
drużynowy,ˌ d r u ʒ ɨ̃ ˈ n ɔ v ɨ
drwal,d r v a l
drwalka,ˈ d r v a l k a
drwalnia,ˈ d r v a lʲ ɲ a
drwalnik,ˈ d r v a lʲ ɲ i k
drwina,ˈ d r vʲ ĩ n a
drwić,d r vʲ i ʨ̑
drybling,ˈ d r ɨ b lʲ ĩ ŋ k
dryblować,d r ɨ ˈ b l ɔ v a ʨ̑
dryf,d r ɨ f
drygant,ˈ d r ɨ ɡ ã n t
dryjakiew,d r ɨ ˈ j ä c ɛ f
dryl,d r ɨ l
dryling,ˈ d r ɨ lʲ ĩ ŋ k
drylinger,d r ɨ ˈ lʲ ĩ ŋ ɡ ɛ r
drylować,d r ɨ ˈ l ɔ v a ʨ̑
drylownica,ˌ d r ɨ l ɔ vʲ ˈ ɲ i t s̑ a
dryndnąć,ˈ d r ɨ̃ n d n ɔ̃ ɲ ʨ̑
drzazga,ˈ ḍ ʒ a z ɡ a
drzemać,ˈ ḍ ʒ ɛ̃ m a ʨ̑
drzemka,ˈ ḍ ʒ ɛ̃ m k a
drzemlik,ˈ ḍ ʒ ɛ̃ m lʲ i k
drzewce,ˈ ḍ ʒ ɛ f t s̑ ɛ
drzewiasty,ḍ ʒ ɛ ˈ vʲ j a s t ɨ
drzewiej,ˈ ḍ ʒ ɛ vʲ j ɛ̇ j
drzewko,ˈ ḍ ʒ ɛ f k ɔ
drzewo,ˈ ḍ ʒ ɛ v ɔ
drzeć,ḍ ʒ ɛ ʨ̑
drzwi,ḍ ʒ vʲ i
drzwiczki,ˈ ḍ ʒ vʲ i t ʃ̑ʲ c i
drób,d r u p
dróżka,ˈ d r u ʃ k a
drąg,d r ɔ̃ ŋ k
drążek,ˈ d r ɔ̃ w̃ ʒ ɛ k
drążyć,ˈ d r ɔ̃ w̃ ʒ ɨ ʨ̑
dręczenie,d r ɛ̃ n͇ ˈ t ʃ̑ ɛ̃ ɲ ɛ
dręczyciel,d r ɛ̃ n͇ ˈ t ʃ̑ ɨ ʨ̑ ɛ l
dręczycielka,ˌ d r ɛ̃ n͇ t ʃ̑ ɨ ˈ ʨ̑ ɛ l k a
dręczyć,ˈ d r ɛ̃ n͇ t ʃ̑ ɨ ʨ̑
drżenie,ˈ d r ʒ ɛ̃ ɲ ɛ
drżeć,d r ʒ ɛ ʨ̑
ds.,d ɔ ˈ s p r a f
du,d uː
du,iː ɐ̯
du,ˈ d iː ɐ
dubbing,ˈ d a bʲ ĩ ŋ k
dubbingować,ˌ d a bʲ ĩ ŋ ˈ ɡ ɔ v a ʨ̑
dubelt,ˈ d u b ɛ l t
dubeltówka,ˌ d u b ɛ l ˈ t u f k a
dubiel,ˈ d u bʲ j ɛ l
dublinka,d u ˈ b lʲ ĩ n k a
dublińczyk,d u ˈ b lʲ ĩ j̃ n͇ t ʃ̑ ɨ k
dubliński,d u ˈ b lʲ ĩ j̃ sʲ c i
dubn,d u p n̥
duch,d u x
ducha,ˈ d u x a
duchota,d u ˈ x ɔ t a
duchowny,d u ˈ x ɔ v n ɨ
duchowo,d u ˈ x ɔ v ɔ
duchowość,d u ˈ x ɔ v ɔ ɕ ʨ̑
duchowy,d u ˈ x ɔ v ɨ
duchy,ˈ d u x ɨ
duda,ˈ d u d a
dudek,ˈ d u d ɛ k
dudka,ˈ d u t k a
dudkować,d u t ˈ k ɔ v a ʨ̑
dudnić,ˈ d u dʲ ɲ i ʨ̑
dudy,ˈ d u d ɨ
dudziarz,ˈ d u ʥ̑ a ʃ
duet,ˈ d u s u p w s u p ɛ t
dufać,ˈ d u f a ʨ̑
duga,ˈ d u ɡ a
dukat,ˈ d u k a t
dukać,ˈ d u k a ʨ̑
dukielski,d u ˈ c ɛ l sʲ c i
dulag,ˈ d u l a k
dulcynea,ˌ d u l t s̑ ɨ̃ ˈ n ɛ a
dulka,ˈ d u l k a
dulszczyzna,d u l ˈ ʃ t ʃ̑ ɨ z n a
duma,ˈ d ũ m a
dumać,ˈ d ũ m a ʨ̑
dumny,ˈ d ũ m n ɨ
dumpingowy,ˌ d ã m pʲ ĩ ŋ ˈ ɡ ɔ v ɨ
dunajski,d ũ ˈ n a j sʲ c i
dunkel,ˈ d ũ ŋ k ɛ l
dunkierczyk,d ũ ŋʲ ˈ c ɛ r t ʃ̑ ɨ k
dunkierka,d ũ ŋʲ ˈ c ɛ r k a
dunkierski,d ũ ŋʲ ˈ c ɛ r sʲ c i
duola,d u ˈ s u p w s u p ɔ l a
dupa,ˈ d u p a
dupczyć,ˈ d u p t ʃ̑ ɨ ʨ̑
dupeczka,d u ˈ p ɛ t ʃ̑ k a
dupek,ˈ d u p ɛ k
dupelbir,d u ˈ p ɛ l bʲ i r
duperele,ˌ d u p ɛ ˈ r ɛ l ɛ
dupodajca,ˌ d u p ɔ ˈ d a j t s̑ a
dupodajka,ˌ d u p ɔ ˈ d a j k a
dupojebak,ˌ d u p ɔ ˈ j ɛ b a k
dupojebstwo,ˌ d u p ɔ ˈ j ɛ p s t f ɔ
dupowaty,ˌ d u p ɔ ˈ v a t ɨ
dur,d u r
dureń,ˈ d u r ɛ̃ ɲ
durian,ˈ d u rʲ j ã n
durnica,d u rʲ ˈ ɲ i t s̑ a
durnowaty,ˌ d u r n ɔ ˈ v a t ɨ
durny,ˈ d u r n ɨ
durszlak,ˈ d u r ʃ l a k
duser,ˈ d u s ɛ r
dusić,ˈ d u ɕ i ʨ̑
dusza,ˈ d u ʃ a
duszanbejczyk,ˌ d u ʃ ã n ˈ b ɛ j t ʃ̑ ɨ k
duszanbejka,ˌ d u ʃ ã n ˈ b ɛ j k a
duszanbejski,ˌ d u ʃ ã n ˈ b ɛ j sʲ c i
duszek,ˈ d u ʃ ɛ k
duszenie,d u ˈ ʃ ɛ̃ ɲ ɛ
duszkiem,ˈ d u ʃʲ c ɛ̃ m
dusznik,ˈ d u ʃʲ ɲ i k
duszno,ˈ d u ʃ n ɔ
duszny,ˈ d u ʃ n ɨ
duszochwat,d u ˈ ʃ ɔ x f a t
duszoszczypatielny,ˌ d u ʃ ɔ ʃ t ʃ̑ ɨ p a ˈ tʲ j ɛ l n ɨ
duszyca,d u ˈ ʃ ɨ t s̑ a
dutka,ˈ d u t k a
duński,ˈ d ũ j̃ sʲ c i
duńskojęzyczny,ˌ d ũ j̃ s k ɔ j ɛ̃ w̃ ˈ z ɨ t ʃ̑ n ɨ
dużo,ˈ d u ʒ ɔ
duży,ˈ d u ʒ ɨ
dwa,d v a
dwadzieścia,d v a ˈ ʥ̑ ɛ̇ ɕ ʨ̑ a
dwadzieścioro,ˌ d v a ʥ̑ ɛ̇ ɕ ˈ ʨ̑ ɔ r ɔ
dwaj,d v a j
dwanaście,d v ã ˈ n a ɕ ʨ̑ ɛ
dwanaścioro,ˌ d v ã n a ɕ ˈ ʨ̑ ɔ r ɔ
dwieście,ˈ d vʲ j ɛ̇ ɕ ʨ̑ ɛ
dwoinka,d v ɔ ˈ s u p j s u p ĩ n k a
dwojaczki,d v ɔ ˈ j a t ʃ̑ʲ c i
dwojaki,d v ɔ ˈ j ä c i
dwojako,d v ɔ ˈ j a k ɔ
dwojc,d v ɔ j t s̑
dwoje,ˈ d v ɔ j ɛ
dworactwo,d v ɔ ˈ r a t s̑ t f ɔ
dworski,ˈ d v ɔ r sʲ c i
dworzec,ˈ d v ɔ ʒ ɛ t s̑
dwu-,d v u
dwuaktowy,ˌ d v u s u p w s u p a k ˈ t ɔ v ɨ
dwuargumentowy,ˌ d v u s u p w s u p a r ɡ ũ m ɛ̃ n ˈ t ɔ v ɨ
dwubarwny,d v u ˈ b a r v n ɨ
dwubiegunowy,ˌ d v u bʲ j ɛ ɡ ũ ˈ n ɔ v ɨ
dwucalowy,ˌ d v u t s̑ a ˈ l ɔ v ɨ
dwucyfrowy,ˌ d v u t s̑ ɨ f ˈ r ɔ v ɨ
dwucylindrowy,ˌ d v u t s̑ ɨ lʲ ĩ n ˈ d r ɔ v ɨ
dwuczworogran,ˌ d v u t ʃ̑ f ɔ ˈ r ɔ ɡ r ã n
dwuczworogranny,ˌ d v u t ʃ̑ f ɔ r ɔ ˈ ɡ r ã nː ɨ
dwuczęściowy,ˌ d v u t ʃ̑ ɛ̃ w̃ ɕ ˈ ʨ̑ ɔ v ɨ
dwuczłonowy,ˌ d v u t ʃ̑ w ɔ̃ ˈ n ɔ v ɨ
dwudaniowy,ˌ d v u d ã ˈ ɲ ɔ v ɨ
dwudeklinacyjny,ˌ d v u d ɛ k lʲ ĩ n a ˈ t s̑ ɨ j n ɨ
dwudniaczka,d v u ˈ dʲ ɲ a t ʃ̑ k a
dwudniak,ˈ d v u dʲ ɲ a k
dwudniowy,d v u ˈ dʲ ɲ ɔ v ɨ
dwudrzwiowy,d v u ˈ ḍ ʒ vʲ j ɔ v ɨ
dwudzielny,d v u ˈ ʥ̑ ɛ l n ɨ
dwudziestka,d v u ˈ ʥ̑ ɛ s t k a
dwudziestoczterofuntowy,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ f ũ n ˈ t ɔ v ɨ
dwudziestoczterogodzinny,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ ɡ ɔ ˈ ʥ̑ ĩ nː ɨ
dwudziestoczterolatek,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ ˈ l a t ɛ k
dwudziestoczterolatka,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ ˈ l a t k a
dwudziestoczteroletni,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ ˈ l ɛ tʲ ɲ i
dwudziestoczteroosobowy,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔː s ɔ ˈ b ɔ v ɨ
dwudziestoczterotomowy,ˌ d v u ʥ̑ ɛ s t ɔ t ʃ̑ t ɛ r ɔ t ɔ̃ ˈ m ɔ v ɨ
dwudziestodniowy,ˌ d v u ʥ̑ ɛ s t ɔ ˈ dʲ ɲ ɔ v ɨ
dwudziestodwugodzinny,ˌ d v u ʥ̑ ɛ s t ɔ d v u ɡ ɔ ˈ ʥ̑ ĩ nː ɨ
dwudziestodwulatek,ˌ d v u ʥ̑ ɛ s t ɔ d v u ˈ l a t ɛ k
dwudziestodwulatka,ˌ d v u ʥ̑ ɛ s t ɔ d v u ˈ l a t k a
dwudziestodwuletni,ˌ d v u ʥ̑ ɛ s t ɔ d v u ˈ l ɛ tʲ ɲ i
dwudziestodwuosobowy,ˌ d v u ʥ̑ ɛ s t ɔ d v u s u p w s u p ɔ s ɔ ˈ b ɔ v ɨ
dwudziestodwutomowy,ˌ d v u ʥ̑ ɛ s t ɔ d v u t ɔ̃ ˈ m ɔ v ɨ
dwudziestodziewięciolatek,ˌ d v u ʥ̑ ɛ s t ɔ ʥ̑ ɛ vʲ j ɛ̇̃ ɲ ʨ̑ ɔ ˈ l a t ɛ k
dwudziestodziewięciolatka,ˌ d v u ʥ̑ ɛ s t ɔ ʥ̑ ɛ vʲ j ɛ̇̃ ɲ ʨ̑ ɔ ˈ l a t k a
dwudziestodziewięcioletni,ˌ d v u ʥ̑ ɛ s t ɔ ʥ̑ ɛ vʲ j ɛ̇̃ ɲ ʨ̑ ɔ ˈ l ɛ tʲ ɲ i
dwudziestodziewięcioosobowy,ˌ d v u ʥ̑ ɛ s t ɔ ʥ̑ ɛ vʲ j ɛ̇̃ ɲ ʨ̑ ɔː s ɔ ˈ b ɔ v ɨ
